start_time,subject_id,key_conversion,response,reward,block,stimulus_id,color,shape,texture,size,largest_keys,largest_chosen
2022-06-21 20:04:54.004000+00:00,1315,"{'key': ['c', 'z', 'v', 'x'], 'category': ['A', 'B', 'C', 'D']}",c,False,Set_1,369,magenta,square,dots,large,z,False
2022-06-21 20:04:59.695000+00:00,1315,"{'key': ['c', 'z', 'v', 'x'], 'category': ['A', 'B', 'C', 'D']}",c,True,Set_1,169,orange,circle,dots,large,c,True
2022-06-21 20:05:02.701000+00:00,1315,"{'key': ['c', 'z', 'v', 'x'], 'category': ['A', 'B', 'C', 'D']}",z,True,Set_1,327,orange,square,dots,large,z,True
2022-06-21 20:05:05.017000+00:00,1315,"{'key': ['c', 'z', 'v', 'x'], 'category': ['A', 'B', 'C', 'D']}",z,False,Set_1,141,magenta,circle,dots,small,c,False
2022-06-21 20:05:08.457000+00:00,1315,"{'key': ['c', 'z', 'v', 'x'], 'category': ['A', 'B', 'C', 'D']}",c,True,Set_1,141,magenta,circle,dots,small,c,True
2022-06-21 20:05:11.301000+00:00,1315,"{'key': ['c', 'z', 'v', 'x'], 'category': ['A', 'B', 'C', 'D']}",z,True,Set_1,327,orange,square,dots,large,z,True
2022-06-21 20:05:14.614000+00:00,1315,"{'key': ['c', 'z', 'v', 'x'], 'category': ['A', 'B', 'C', 'D']}",c,False,Set_1,369,magenta,square,dots,large,z,False
2022-06-21 20:05:16.841000+00:00,1315,"{'key': ['c', 'z', 'v', 'x'], 'category': ['A', 'B', 'C', 'D']}",z,False,Set_1,169,orange,circle,dots,large,c,False
2022-06-21 20:05:19.176000+00:00,1315,"{'key': ['c', 'z', 'v', 'x'], 'category': ['A', 'B', 'C', 'D']}",c,False,Set_1,369,magenta,square,dots,large,z,False
2022-06-21 20:05:21.913000+00:00,1315,"{'key': ['c', 'z', 'v', 'x'], 'category': ['A', 'B', 'C', 'D']}",c,False,Set_1,327,orange,square,dots,large,z,False
2022-06-21 20:05:27.059000+00:00,1315,"{'key': ['c', 'z', 'v', 'x'], 'category': ['A', 'B', 'C', 'D']}",c,True,Set_1,141,magenta,circle,dots,small,c,True
2022-06-21 20:05:30.333000+00:00,1315,"{'key': ['c', 'z', 'v', 'x'], 'category': ['A', 'B', 'C', 'D']}",z,False,Set_1,169,orange,circle,dots,large,c,False
2022-06-21 20:05:33.979000+00:00,1315,"{'key': ['c', 'z', 'v', 'x'], 'category': ['A', 'B', 'C', 'D']}",z,True,Set_1,369,magenta,square,dots,large,z,True
2022-06-21 20:05:36.158000+00:00,1315,"{'key': ['c', 'z', 'v', 'x'], 'category': ['A', 'B', 'C', 'D']}",z,True,Set_1,327,orange,square,dots,large,z,True
2022-06-21 20:05:39.484000+00:00,1315,"{'key': ['c', 'z', 'v', 'x'], 'category': ['A', 'B', 'C', 'D']}",c,True,Set_1,141,magenta,circle,dots,small,c,True
2022-06-21 20:05:41.786000+00:00,1315,"{'key': ['c', 'z', 'v', 'x'], 'category': ['A', 'B', 'C', 'D']}",z,False,Set_1,169,orange,circle,dots,large,c,False
2022-06-21 20:05:43.779000+00:00,1315,"{'key': ['c', 'z', 'v', 'x'], 'category': ['A', 'B', 'C', 'D']}",c,False,Set_1,327,orange,square,dots,large,z,False
2022-06-21 20:05:45.568000+00:00,1315,"{'key': ['c', 'z', 'v', 'x'], 'category': ['A', 'B', 'C', 'D']}",c,True,Set_1,141,magenta,circle,dots,small,c,True
2022-06-21 20:05:47.262000+00:00,1315,"{'key': ['c', 'z', 'v', 'x'], 'category': ['A', 'B', 'C', 'D']}",c,True,Set_1,169,orange,circle,dots,large,c,True
2022-06-21 20:05:49.015000+00:00,1315,"{'key': ['c', 'z', 'v', 'x'], 'category': ['A', 'B', 'C', 'D']}",c,False,Set_1,369,magenta,square,dots,large,z,False
2022-06-21 20:05:54.693000+00:00,1315,"{'key': ['c', 'z', 'v', 'x'], 'category': ['A', 'B', 'C', 'D']}",c,True,Set_1,141,magenta,circle,dots,small,c,True
2022-06-21 20:05:56.477000+00:00,1315,"{'key': ['c', 'z', 'v', 'x'], 'category': ['A', 'B', 'C', 'D']}",z,True,Set_1,369,magenta,square,dots,large,z,True
2022-06-21 20:05:58.693000+00:00,1315,"{'key': ['c', 'z', 'v', 'x'], 'category': ['A', 'B', 'C', 'D']}",z,True,Set_1,327,orange,square,dots,large,z,True
2022-06-21 20:06:00.577000+00:00,1315,"{'key': ['c', 'z', 'v', 'x'], 'category': ['A', 'B', 'C', 'D']}",c,True,Set_1,169,orange,circle,dots,large,c,True
2022-06-21 20:06:02.318000+00:00,1315,"{'key': ['c', 'z', 'v', 'x'], 'category': ['A', 'B', 'C', 'D']}",c,True,Set_1,141,magenta,circle,dots,small,c,True
2022-06-21 20:06:04.015000+00:00,1315,"{'key': ['c', 'z', 'v', 'x'], 'category': ['A', 'B', 'C', 'D']}",z,True,Set_1,327,orange,square,dots,large,z,True
2022-06-21 20:06:05.655000+00:00,1315,"{'key': ['c', 'z', 'v', 'x'], 'category': ['A', 'B', 'C', 'D']}",z,True,Set_1,369,magenta,square,dots,large,z,True
2022-06-21 20:06:07.206000+00:00,1315,"{'key': ['c', 'z', 'v', 'x'], 'category': ['A', 'B', 'C', 'D']}",c,True,Set_1,169,orange,circle,dots,large,c,True
2022-06-21 20:06:08.800000+00:00,1315,"{'key': ['c', 'z', 'v', 'x'], 'category': ['A', 'B', 'C', 'D']}",c,True,Set_1,141,magenta,circle,dots,small,c,True
2022-06-21 20:06:10.364000+00:00,1315,"{'key': ['c', 'z', 'v', 'x'], 'category': ['A', 'B', 'C', 'D']}",z,True,Set_1,369,magenta,square,dots,large,z,True
2022-06-21 20:06:15.284000+00:00,1315,"{'key': ['c', 'z', 'v', 'x'], 'category': ['A', 'B', 'C', 'D']}",c,True,Set_1,169,orange,circle,dots,large,c,True
2022-06-21 20:06:17.539000+00:00,1315,"{'key': ['c', 'z', 'v', 'x'], 'category': ['A', 'B', 'C', 'D']}",z,True,Set_1,327,orange,square,dots,large,z,True
2022-06-21 20:06:19.005000+00:00,1315,"{'key': ['c', 'z', 'v', 'x'], 'category': ['A', 'B', 'C', 'D']}",z,True,Set_1,369,magenta,square,dots,large,z,True
2022-06-21 20:06:21.162000+00:00,1315,"{'key': ['c', 'z', 'v', 'x'], 'category': ['A', 'B', 'C', 'D']}",z,True,Set_1,327,orange,square,dots,large,z,True
2022-06-21 20:06:22.757000+00:00,1315,"{'key': ['c', 'z', 'v', 'x'], 'category': ['A', 'B', 'C', 'D']}",c,True,Set_1,141,magenta,circle,dots,small,c,True
